song_id,sheet,artist,title,duration_sec,key,tempo_bpm,release_date,has_chords,n_sections,release_year,total_measures,borrowed_ratio,unmatched_ratio,rest_ratio,chord_change_rate,key_mismatch_suspect,mode_major,mode_minor,gen_3.5세대,gen_3세대,gen_4세대,grp_걸그룹,grp_보이그룹,duration_sec_scaled,tempo_bpm_scaled,n_sections_scaled,total_measures_scaled,borrowed_ratio_scaled,unmatched_ratio_scaled,rest_ratio_scaled,chord_change_rate_scaled
3세대 걸그룹::0128,3세대 걸그룹,EXID,WHOZ THAT GIRL,210.0,Bbm,128.0,2012-02-16,True,7,2012,56.0,0.05357142857142857,0.125,0.0,0.5272727272727272,False,False,True,False,True,False,True,False,0.7369675696135464,0.3801073546515341,0.1980397037391327,0.3809112922957677,-0.5272412945481946,1.66687372877033,-0.17569083961954554,-0.7211369680684974
3세대 걸그룹::0149,3세대 걸그룹,에이핑크,NoNoNo,220.0,Em,106.0,2013-07-05,True,10,2013,80.0,0.175,0.025,0.0,0.8987341772151899,False,False,True,False,True,False,True,False,1.1971818473320934,-0.701907843425608,2.1874385458458763,2.342419539224654,0.4765708991843789,0.019139437128349535,-0.17569083961954554,0.8231550618985882
3세대 걸그룹::0121,3세대 걸그룹,AOA,짧은 치마,180.0,Gm,120.0,2014-01-16,True,6,2014,48.0,0.375,0.0,0.0,0.8936170212765957,False,False,True,False,True,False,True,False,-0.6436752635420947,-0.013352717376517543,-0.46509324362978177,-0.27292479001386105,2.1299086300380297,-0.3927941357821456,-0.17569083961954554,0.8018812981384624
3세대 걸그룹::0148,3세대 걸그룹,에이핑크,Mr.Chu,205.0,G,120.0,2014-03-31,True,7,2014,56.0,0.32142857142857145,0.17857142857142858,0.0,0.9272727272727272,False,True,False,False,True,False,True,False,0.5068604307542729,-0.013352717376517543,0.1980397037391327,0.3809112922957677,1.687050309273659,2.5495885278642483,-0.17569083961954554,0.9417995549072118
3세대 걸그룹::0123,3세대 걸그룹,AOA,단발머리,215.0,Ebm,110.0,2014-06-19,True,6,2014,48.0,0.22916666666666666,0.125,0.0,0.6808510638297872,False,False,True,False,True,False,True,False,0.96707470847282,-0.5051778074115821,-0.46509324362978177,-0.27292479001386105,0.9243498679572426,1.66687372877033,-0.17569083961954554,-0.08265940557202092
3세대 걸그룹::0126,3세대 걸그룹,EXID,위아래,189.0,Bm,112.0,2014-08-27,True,8,2014,64.0,0.125,0.0,0.0,0.5079365079365079,False,False,True,False,True,False,True,False,-0.22948241359540236,-0.4068127894045692,0.8611726511080472,1.0347473746053963,0.06323646647096635,-0.3927941357821456,-0.17569083961954554,-0.8015242314446679
3세대 걸그룹::0124,3세대 걸그룹,AOA,사뿐사뿐,220.0,Fm,100.0,2014-11-11,True,6,2014,48.0,0.0,0.0,0.0,0.6808510638297872,False,False,True,False,True,False,True,False,1.1971818473320934,-0.9970028974466467,-0.46509324362978177,-0.27292479001386105,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,-0.08265940557202092
3세대 걸그룹::0151,3세대 걸그룹,에이핑크,LUV,238.0,F#m,104.0,2014-11-24,True,6,2014,48.0,0.020833333333333332,0.20833333333333334,0.0,1.0,False,False,True,False,True,False,True,False,2.025567547225478,-0.8002728614326209,-0.46509324362978177,-0.27292479001386105,-0.79787693501531,3.0399856384719808,-0.17569083961954554,1.2441516499937044
3세대 걸그룹::0034,3세대 걸그룹,여자친구,유리구슬,204.0,Ebm,114.0,2015-01-15,True,8,2015,64.0,0.09375,0.0,0.0,0.9523809523809523,False,False,True,False,True,False,True,False,0.4608390029824182,-0.3084477713975563,0.8611726511080472,1.0347473746053963,-0.19509755397491654,-0.3927941357821456,-0.17569083961954554,1.0461830163061199
3세대 걸그룹::0129,3세대 걸그룹,EXID,Ah Yeah,200.0,Bm,118.0,2015-04-13,True,8,2015,64.0,0.015625,0.015625,0.0,0.49206349206349204,False,False,True,False,True,False,True,False,0.27675329189499936,-0.11171773538353046,0.8611726511080472,1.0347473746053963,-0.8409326050896238,-0.13533565271308617,-0.17569083961954554,-0.867513776007196
3세대 걸그룹::0109,3세대 걸그룹,마마무,음오아예,214.0,G,105.0,2015-06-19,True,6,2015,48.0,0.5,0.0,0.0,1.0,False,True,False,False,True,False,True,False,0.9210532807009653,-0.7510903524291145,-0.46509324362978177,-0.27292479001386105,3.1632447118215614,-0.3927941357821456,-0.17569083961954554,1.2441516499937044
3세대 걸그룹::0122,3세대 걸그룹,AOA,심쿵해,195.0,Am,126.0,2015-06-22,True,6,2015,48.0,0.0,0.0,0.0,1.0,False,False,True,False,True,False,True,False,0.04664615303572587,0.2817423366445212,-0.46509324362978177,-0.27292479001386105,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,1.2441516499937044
3세대 걸그룹::0150,3세대 걸그룹,에이핑크,Remember,232.0,Gb,120.0,2015-07-16,True,8,2015,60.0,0.31666666666666665,0.13333333333333333,0.0,1.0,False,True,False,False,True,False,True,False,1.74943898059435,-0.013352717376517543,0.8611726511080472,0.7078293334505821,1.6476851252057148,1.804184919740495,-0.17569083961954554,1.2441516499937044
3세대 걸그룹::0035,3세대 걸그룹,여자친구,오늘부터 우리는,221.0,Fm,106.0,2015-07-23,True,8,2015,60.0,0.1,0.0,0.0,0.864406779661017,False,False,True,False,True,False,True,False,1.2432032751039481,-0.701907843425608,0.8611726511080472,0.7078293334505821,-0.14343074988573992,-0.3927941357821456,-0.17569083961954554,0.6804443540697354
3세대 걸그룹::0114,3세대 걸그룹,러블리즈,Ah-Choo,219.0,F,127.0,2015-10-01,True,7,2015,53.0,0.1509433962264151,0.20754716981132076,0.0,0.9423076923076923,False,True,False,False,True,False,True,False,1.1511604195602387,0.33092484564802765,0.1980397037391327,0.13572276142965692,0.2777024457090578,3.027031752531399,-0.17569083961954554,1.004305036102977
3세대 걸그룹::0049,3세대 걸그룹,트와이스,OOH-AHH하게,215.0,Gb,142.0,2015-10-20,True,7,2015,56.0,0.26785714285714285,0.0,0.0,0.5454545454545454,False,True,False,False,True,False,True,False,0.96707470847282,1.0686624807006246,0.1980397037391327,0.3809112922957677,1.244191988509288,-0.3927941357821456,-0.17569083961954554,-0.6455489442968741
3세대 걸그룹::0127,3세대 걸그룹,EXID,Hot Pink,202.0,Bbm,107.0,2015-11-18,True,8,2015,64.0,0.03125,0.015625,0.0,0.42857142857142855,False,False,True,False,True,False,True,False,0.3687961474387088,-0.6527253344221016,0.8611726511080472,1.0347473746053963,-0.7117655948666823,-0.13533565271308617,-0.17569083961954554,-1.1314719542573086
3세대 걸그룹::0036,3세대 걸그룹,여자친구,시간을 달려서,208.0,Fm,112.0,2016-01-25,True,9,2016,72.0,0.08333333333333333,0.027777777777777776,0.0,0.9154929577464789,False,False,True,False,True,False,True,False,0.644924714069837,-0.4068127894045692,1.5243055984769618,1.688583456915025,-0.2812088941235442,0.0649098341184045,-0.17569083961954554,0.892827032463625
3세대 걸그룹::0111,3세대 걸그룹,마마무,넌 is 뭔들,233.0,F,122.0,2016-02-26,True,7,2016,56.0,0.2857142857142857,0.0,0.0,0.5636363636363636,False,True,False,False,True,False,True,False,1.7954604083662047,0.08501230063049538,0.1980397037391327,0.3809112922957677,1.3918114287640782,-0.3927941357821456,-0.17569083961954554,-0.5699609205252509
3세대 걸그룹::0099,3세대 걸그룹,아이오아이,PICK ME,227.0,E,128.0,2016-04-05,True,4,2016,32.0,0.0,0.0,0.0,0.1935483870967742,False,True,False,False,True,False,True,False,1.5193318417350763,0.3801073546515341,-1.7913591383676106,-1.5805969546331184,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,-2.1085429527799024
